var,pos.num,ref
persistent,3545,
der_sex_female,3406,1
der_sex_male,1023,
pat_region_E,1266,1
pat_region_MW,1472,
pat_region_S,1356,
pat_region_W,335,
idx_paytype_C,2913,1
idx_paytype_M,27,
idx_paytype_R,23,
idx_paytype_S,1451,
idx_paytype_U,15,
idx_prodtype_D,50,
idx_prodtype_H,496,
idx_prodtype_I,99,
idx_prodtype_P,3543,1
idx_prodtype_S,222,
idx_prodtype_U,19,
idx_spec_01,263,
idx_spec_02,179,
idx_spec_03,2178,1
idx_spec_04,1681,
idx_spec_05,128,
age_1,676,
age_2,1261,
age_3,1542,1
age_4,950,
pchrlson_1,3124,1
pchrlson_2,697,
pchrlson_3,608,
num_pre_meds_1,772,
num_pre_meds_2,1403,
num_pre_meds_3,1072,
num_pre_meds_4,1182,1
num_pre_op_dx_1,793,
num_pre_op_dx_2,1148,
num_pre_op_dx_3,1284,
num_pre_op_dx_4,1204,1
pre_non_ms_total_allowed_1,1107,1
pre_non_ms_total_allowed_2,1107,
pre_non_ms_total_allowed_3,1107,
pre_non_ms_total_allowed_4,1108,
pre_ms_total_allowed_1,1107,1
pre_ms_total_allowed_2,1107,
pre_ms_total_allowed_3,1107,
pre_ms_total_allowed_4,1108,
pre_non_ms_pharmacy_allowed_1,1107,1
pre_non_ms_pharmacy_allowed_2,1107,
pre_non_ms_pharmacy_allowed_3,1107,
pre_non_ms_pharmacy_allowed_4,1108,
pre_ms_pharmacy_allowed_1,1107,1
pre_ms_pharmacy_allowed_2,1107,
pre_ms_pharmacy_allowed_3,1107,
pre_ms_pharmacy_allowed_4,1108,
pre_non_ms_medical_allowed_1,1107,1
pre_non_ms_medical_allowed_2,1107,
pre_non_ms_medical_allowed_3,1107,
pre_non_ms_medical_allowed_4,1108,
pre_ms_medical_allowed_1,1107,1
pre_ms_medical_allowed_2,1107,
pre_ms_medical_allowed_3,1107,
pre_ms_medical_allowed_4,1108,
pre_rx_any,3094,
pre_rx2,1123,
pre_rx3,520,
pre_rx4,14,
pre_rx5,334,
pre_rx6,598,
pre_rx7,691,
pre_rx8,2,
pre_rx9,12,
pre_rx11,22,
pre_comor1,945,
pre_comor2,963,
pre_comor3,469,
pre_comor4,720,
pre_comor5,1393,
pre_comor6,597,
pre_comor7,456,
pre_comor8,110,
pre_comor9,68,
pre_comor10,117,
pre_comor11,702,
pre_comor12,272,
pre_comor13,980,
pre_comor14,144,
pre_comor15,234,
pre_comor16,447,
pre_comor17,73,
pre_comor19,14,
pre_comor20,25,
pre_comor22,24,
pre_comor23,964,
pre_comor24,299,
pre_comor25,1078,
pre_comor26,120,
pre_comor27,241,
pre_comor28,35,
pre_comor29,81,
pre_comor30,241,
pre_comor31,378,
pre_comor32,29,
pre_comor33,134,
pre_ampyra1,468,
pre_mri_any,3344,
pre_90_mri_any,1638,
num_pre_mri_any_1,1085,1
num_pre_mri_any_2,1216,
num_pre_mri_any_3,1354,
num_pre_mri_any_4,774,
pre_90_cort_any,1150,
pre_cort_oral,1470,
num_pre_cort_oral_1,2959,1
num_pre_cort_oral_2,889,
num_pre_cort_oral_3,581,
pre_cort_iv,1544,
num_pre_cort_iv_1,2885,1
num_pre_cort_iv_2,840,
num_pre_cort_iv_3,704,
pre_relapse,1690,
pre_relapse_90,827,
pre_ip_relapse,176,
num_pre_relapses_1,2739,1
num_pre_relapses_2,1120,
num_pre_relapses_3,570,
response,557,
treatment,23527,
